회사명,시가총액,주식수,액면가,업종명,회사코드,현재가,전날종가,고가,저가,시가,PER,추정PER,PBR,동일업종PER,17.12매출액(억원),18.12매출액(억원),19.12매출액(억원),20예상매출액(억원),19.2Q매출액(억원),19.3Q매출액(억원),19.4Q매출액(억원),20.1Q매출액(억원),20.2Q매출액(억원),20.3Q예상매출액(억원),17.12영업이익(억원),18.12영업이익(억원),19.12영업이익(억원),20예상영업이익(억원),19.2Q영업이익(억원),19.2영업이익(억원),19.4Q영업이익(억원),20.1Q영업이익(억원),20.2Q영업이익(억원),20.3Q예상영업이익(억원),17.12당기순이익(억원),18.12당기순이익(억원),19.12당기순이익(억원),20예상당기순이익(억원),19.2Q당기순이익(억원),19.3Q당기순이익(억원),19.4Q당기순이익(억원),20.1Q당기순이익(억원),20.2Q당기순이익(억원),20.3Q예상당기순이익(억원),17.12영업이익률(%),18.12영업이익률(%),19.12영업이익률(%),20예상영업이익률(%),19.2Q영업이익률(%),19.3Q영업이익률(%),19.4Q영업이익률(%),20.1Q영업이익률(%),20.2Q영업이익률(%),20.3Q예상영업이익률(%),17.12ROE(%),18.12ROE(%),19.12ROE(%),20예상ROE(%),19.2QROE(%),19.3QROE(%),19.3QROE(%),19.4QROE(%),20.2QROE(%),20.3Q예상ROE(%),17.12부채비율(%),18.12부채비율(%),19.12부채비율(%),20예상부채비율(%),19.2Q부채비율(%),19.3Q부채비율(%),19.4Q부채비율(%),20.1Q부채비율(%),20.2Q부채비율(%),20.3Q예상부채비율(%),17.12EPS(원),18.12EPS(원),19.12EPS(원),20예상EPS(원),19.2QEPS(원),19.3QEPS(원),19.4QEPS(원),20.1QEPS(원),20.2QEPS(원),20.3Q예상EPS(원),17.12PER(배),18.12PER(배),19.12PER(배),20예상PER(배),19.2QPER(배),19.3QPER(배),19.4QPER(배),20.1QPER(배),20.2QPER(배),20.3Q예상PER(배),17.12BPS(원),18.12BPS(원),19.12BPS(원),20예상BPS(원),19.2QBPS(원),19.3QBPS(원),19.4QBPS(원),20.1QBPS(원),20.2QBPS(원),20.3Q예상BPS(원),17.12PBR(배),18.12PBR(배),19.12PBR(배),20예상PBR(배),19.2QPBR(배),19.3QPBR(배),19.4QPBR(배),20.1QPBR(배),20.2QPBR(배),20.3Q예상PBR(배),종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,기관,기관,기관,기관,기관,기관,기관,기관,기관,기관,기관,기관,기관,기관,기관,기관,기관,기관,기관,기관,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인
CJ CGV,,"35,100,000",500,방송과엔터테인먼트,'079160,"23,050","22,000","23,200","22,800","22,300",N/A,-2,31.75,-29.19,"17,144","17,694","19,423","8,754","4,819","4,975","4,983","2,433",416,"2,273",862,777,"1,220","-2,351",235,310,440,-716,"-1,305",-440,100,"-1,885","-2,391","-3,934",-98,-71,"-2,135","-1,186","-1,749",-708,5.03,4.39,6.28,-26.86,4.87,6.23,8.84,-29.44,-313.83,-19.35,-0.41,-49.56,-57.6,-212.16,-72.76,-58.06,-57.6,-174.13,-644.35,,216.35,306.01,652.62,,713.72,722.81,652.62,844.71,"1,352.96",,-58,"-5,858","-6,358","-11,702",-367,75,"-5,777","-3,978","-5,963","-2,128","-1,152.15",-6.35,-4.93,-1.88,-5.93,-5.29,-4.79,-1.55,-1.31,-10.34,"12,828","10,815","11,261","1,160","4,130","10,360","11,261","6,853",726,,5.25,3.44,2.78,18.96,8.02,2.84,2.7,2.28,28.18,,"23,050","22,000","20,950","21,150","21,900","21,650","20,600","20,300","19,950","21,000","20,350","23,800","24,450","21,900","19,950","20,000","18,800","18,600","18,400","19,300","965,985","954,268","613,722","621,596","799,464","766,841","734,751","569,118","745,218","1,098,043","2,371,754","3,906,248","3,581,424","2,250,051","581,362","910,183","648,898","363,382","859,556","135,143","9,675","17,343","-15,104","20,030","36,065","52,387","-54,943","-5,183","-51,884","-56,179","-84,227","-95,715","-93,220","-34,538","29,782","4,231","-34,637","-3,703","-360,063","-7,063","-55,347","101,116","-19,612","-14,167","2,056","-49,952","14,549","-15,127","-10,936","56,364","-12,514","-68,563","96,927","-19,352","-16,197","90,080","32,625","-1,282","39,723","-11,443"
CJ대한통운,,"22,812,344","5,000",항공화물운송과물류,'000120,"156,500","151,500","162,000","154,000","153,500",39.5,35,0.93,16.67,"71,104","92,197","104,151","109,260","25,348","26,218","28,257","25,154","26,500","27,776","2,357","2,427","3,072","3,454",718,887,"1,013",582,839,945,542,666,509,"1,150",176,130,328,114,362,337,3.31,2.63,2.95,3.16,2.83,3.38,3.59,2.31,3.16,3.4,1.99,2.11,1.41,3.34,0.49,0.72,1.41,2.34,2.98,,127.77,151.33,149.23,,158.94,159.02,149.23,154.8,153.73,,"2,050","2,309","1,741","4,463",595,265,"1,541",691,"1,466","1,271",68.28,72.33,89.01,33.95,224.65,165.83,89.01,44,39.75,119.22,"133,253","146,187","164,787","171,091","165,872","166,325","164,787","166,903","168,315",,1.05,1.14,0.94,0.89,0.81,0.87,0.94,0.81,0.94,,"156,500","151,500","149,500","149,500","150,000","149,000","146,000","147,500","145,500","152,000","151,500","154,000","154,500","157,000","154,500","150,000","150,500","153,000","152,000","152,500","151,309","97,195","82,901","60,946","43,631","51,829","59,749","49,497","92,023","45,677","64,502","49,459","124,211","85,712","137,374","169,343","147,020","77,997","61,416","41,764","5,058","14,838","-2,413",-745,"1,326","-5,124","-12,870",530,"-32,574","-9,668","5,095","1,536","3,408","12,635","14,693","-37,078","-12,352","10,637","-28,034","-5,563","20,268","6,652","-5,520","1,270","-1,062","15,418","-3,318","2,192","8,184","9,606",130,"8,540","-13,466","-14,124","13,438","1,605","-23,208","-17,891","9,458","2,966"
GKL,,"61,855,670",500,"호텔,레스토랑,레저",'114090,"12,100","11,850","12,150","11,800","11,800",21.53,-20,1.38,94.69,"5,013","4,803","4,908","2,357","1,174","1,334","1,308","1,115",233,430,"1,082","1,051",968,-427,264,306,228,269,-321,-210,805,777,724,-362,201,253,183,147,-236,-220,21.58,21.87,19.73,-18.11,22.53,22.95,17.4,24.14,-138,-48.98,15.33,,12.62,-6.89,,,12.62,14.28,6.35,,37.56,36.23,55.41,,58.04,51.33,55.41,60.97,47.21,,"1,302","1,257","1,170",-610,324,409,296,238,-381,-273,22.46,19.81,16.62,-19.43,,20.96,16.62,10.66,22.87,-43.44,"8,602","9,087","9,460","8,241","8,904","9,183","9,460","9,169","8,788",,3.4,2.74,2.06,1.44,2.3,2.25,2.06,1.47,1.46,,"12,100","11,850","11,850","11,800","12,150","12,400","12,100","12,300","12,050","12,700","12,650","13,950","13,800","13,800","13,100","12,950","13,050","12,850","12,700","12,650","289,911","404,125","242,910","469,438","221,070","251,922","347,213","220,746","662,579","327,300","997,795","765,788","748,989","2,283,315","533,706","351,071","943,678","298,349","278,285","261,575","-59,680","-86,404","-30,867","-120,527","-37,856","-32,796","-88,380","-23,176","-177,817","-44,705","-230,679","86,448","-1,190","92,209","-22,008","-11,787","-30,248","-1,954","-54,157","-48,291","21,801","-30,513","-31,977","-11,224","-10,500","1,515","1,073","-5,478","-48,794","-12,193","-59,771","19,756","-36,507","143,104","26,233","-22,708","21,339","30,004","-21,461","6,983"
GS건설,,"80,097,804","5,000",건설,'006360,"25,750","24,700","25,850","24,700","24,700",5.4,5,0.51,6.45,"116,795","131,394","104,166","103,891","25,750","24,416","27,981","24,415","25,474","25,575","3,187","10,645","7,673","7,250","2,059","1,877","1,823","1,710","1,651","1,932","-1,637","5,874","4,475","4,619","1,454","1,729",-1,"1,315",852,"1,166",2.73,8.1,7.37,6.98,8,7.69,6.51,7,6.48,7.55,-5.22,17.34,11.79,10.9,14.31,14.54,11.79,11.75,9.82,,322.77,231.98,217.91,,233.75,234.62,217.91,241.38,226.77,,"-2,359","7,713","5,552","5,632","1,792","2,156",6,"1,604","1,003","1,508",-12,5.67,5.59,4.39,6.36,4.88,5.59,3.69,5.15,16.37,"45,095","45,064","50,056","54,146","47,422","50,170","50,056","49,909","50,588",,0.63,0.97,0.62,0.46,0.85,0.66,0.62,0.41,0.49,,"25,750","24,700","25,200","24,500","25,150","25,600","24,800","24,850","24,800","26,200","26,100","27,700","27,600","27,800","27,950","26,950","26,700","27,050","27,400","28,250","494,918","745,914","570,496","544,617","506,378","375,296","356,338","428,463","801,921","316,769","769,250","520,118","690,062","556,068","1,421,567","635,477","764,179","837,199","1,074,945","3,501,113","106,917","8,835","33,951","-97,008","-106,255","55,397","-15,840","11,691","-202,477","20,040","-6,846","3,569","103,368","4,330","109,986","-89,876","-107,365","-131,284","-162,072","232,233","31,676","-115,559","117,295","-109,549","-51,246","-14,640","3,145","-80,633","-19,548","26,816","-113,791","-9,449","-130,111","-16,324","172,658","46,060","-48,923","-94,332","-144,915","50,245"
HDC현대EP,,"31,900,000",500,자동차부품,'089470,"5,080","4,965","5,160","5,090","4,990",12.04,,0.5,14.79,"9,144","9,108","8,351","6,808","2,180","1,974","2,015","1,695","1,561","1,717",415,144,341,378,119,95,34,82,93,104,310,85,132,256,18,68,-37,42,61,,4.54,1.58,4.08,5.56,5.46,4.79,1.69,4.83,5.94,6.06,11.39,3.02,4.66,,2.24,4.31,4.66,3.18,4.7,,118.97,112.69,93.07,,102.73,94.56,93.07,88.1,74.23,,973,266,413,801,57,214,-115,132,191,235,6.99,16.13,12.13,6.2,27.7,12.03,12.13,9.67,8.83,21.12,"9,056","9,135","9,808",,"9,749","10,002","9,808","9,912","10,072",,0.75,0.47,0.51,,0.57,0.47,0.51,0.28,0.37,,"5,080","4,965","4,835","4,780","4,840","4,860","4,630","4,590","4,600","4,900","4,825","5,290","5,100","4,930","4,970","4,720","4,505","4,495","4,250","4,195","395,520","294,178","439,696","156,837","132,744","162,424","161,563","174,815","281,336","218,115","516,934","958,710","1,846,499","422,853","1,305,024","370,894","229,340","381,916","134,166","228,399","5,001","7,444","-1,601",189,-608,-144,"-43,403","16,497",-77,"-8,738","32,062","7,330","-25,206","-4,852","-91,863","-4,120","-4,565","-8,118","-4,400",-412,"-19,365","17,265","31,412","5,466","9,904","34,893","40,810","6,075","-22,915","-3,139","-39,543","14,362","39,025","38,289","-184,693","77,158","-8,242","115,517","23,124","68,723"
JW홀딩스,,"66,452,155",500,제약,'096760,"5,280","5,150","6,430","5,180","5,130",N/A,,2.54,132.15,"6,812","7,254","7,264",,"1,864","1,905","1,715","1,872","1,931",,417,333,27,,71,138,-235,84,31,,569,364,-316,,16,68,-331,-36,-34,,6.12,4.59,0.38,,3.8,7.24,-13.7,4.47,1.59,,38.22,13.32,-20.18,,-18.8,-9.7,-20.18,-17.72,-18.63,,263.53,218.12,253.64,,225.86,217.66,253.64,271.32,265.35,,816,349,-503,,-19,23,-380,-36,-33,,9.79,19.91,-12.62,,-10.85,-21.12,-12.62,-11.75,-12.52,,"2,505","2,742","2,255",,"2,506","2,657","2,255","2,101","2,082",,3.19,2.53,2.82,,2.37,2.14,2.82,2.31,2.57,,"5,280","5,150","5,160","5,230","5,450","5,180","5,140","5,100","5,100","5,170","5,100","5,370","5,420","5,480","5,600","5,550","5,670","5,680","5,670","5,510","7,834,267","134,310","148,463","151,412","358,003","149,260","81,470","121,440","243,884","137,891","230,011","173,567","153,849","217,276","237,631","217,286","319,755","892,148","1,140,628","332,738","-11,099","-2,170",-826,"2,973","-4,343","-1,824",-171,990,"-2,038","-4,320",731,"-4,605","-4,593","8,345","-3,464","-2,434","-9,447","4,895","-7,181","-3,969","-79,002","2,828","-18,208","-23,222","21,420","25,829","-7,314","-6,019","12,500","-2,985","-36,463","1,885","-9,986","-29,737","36,428","-10,758","36,525","-95,845","79,147","135,373"
KB금융 1Q,,"415,807,920","5,000",은행,'105560,"37,400","36,850","37,600","36,650","36,550",4.89,5,0.38,3.91,"392,293","420,271","471,697",,"123,373","125,902","130,116","92,305","192,731",,"40,153","42,675","44,906","43,746","11,592","13,102","12,482","7,731","10,391","11,630","33,435","30,619","33,132","31,652","8,459","9,915","9,407","5,351","7,389","8,822",10.23,10.15,9.52,,9.4,10.41,9.59,8.38,5.39,,10.18,8.78,8.92,7.82,8.46,8.31,8.05,8.92,8.63,,"1,182.97","1,242.89","1,225.53",,"1,269.62","1,239.11","1,206.64","1,225.53","1,303.99",,"7,920","7,321","7,923","7,448","2,023","2,371","2,249","1,280","1,754","2,045",8.01,6.35,6.01,4.95,5.95,6.43,6.01,6.01,4.51,17.44,"85,302","90,264","98,898","104,435","91,198","95,454","97,925","98,898","98,103",,0.74,0.52,0.48,0.35,0.46,0.48,0.44,0.48,0.35,,"37,400","36,850","38,000","36,950","37,100","37,950","36,950","36,750","36,450","38,000","38,150","39,800","41,500","40,350","38,800","37,150","36,150","36,550","35,500","35,500","1,585,816","3,473,865","3,094,558","1,518,005","2,118,673","1,577,837","1,254,718","1,682,480","2,376,891","1,283,988","2,848,865","2,859,261","4,253,152","5,024,954","4,668,361","2,482,203","1,831,365","3,369,375","1,272,456","1,345,023","-63,263","-157,319","384,326","-372,211","-576,083","-98,429","-183,095","-424,402","-498,681","-22,040","-1,239","19,384","-180,890","-17,033","366,855","200,746","-421,243","195,875","-265,001","-97,296","211,310","-829,659","455,681","263,829","-331,064","60,985","139,865","12,317","101,250","-109,284","400,721","-295,878","1,142,711","443,207","710,176","268,367","151,949","660,859","145,499","143,904"
SG충방,,"44,964,143",500,자동차부품,'001380,"2,025","1,880","2,130","1,870","1,865",N/A,,0.69,14.79,"1,433","1,345","1,258",,367,237,331,257,184,,-18,52,39,,12,-4,5,8,3,,3,33,8,,7,-6,-9,7,-13,,-1.28,3.85,3.07,,3.28,-1.68,1.66,3.2,1.6,,0.29,2.59,0.59,,2.73,2.21,0.59,-0.07,-1.64,,59.05,57.12,56.9,,56.3,54.19,56.9,55.95,52.84,,8,72,17,,16,-13,-20,15,-29,,487.62,40.05,102.96,,29.79,32.17,102.96,-484.36,-24.16,,"2,827","2,894","2,963",,"2,952","2,942","2,963","2,966","2,936",,1.41,1,0.58,,0.78,0.69,0.58,0.31,0.39,,"2,025","1,880","1,845","1,825","1,915","1,925","1,790","1,785","1,705","1,795","1,740","1,910","1,800","1,685","1,700","1,685","1,620","1,625","1,645","1,650","6,250,576","725,723","827,949","816,239","1,915,715","1,718,690","437,768","919,033","1,257,944","1,318,910","3,335,798","21,665,980","3,780,135","524,281","332,751","823,174","312,329","239,027","266,488","493,107","29,257",934,-64,"-2,656",-33,-46,-45,101,"-1,340",-21,"-51,621","52,775",-599,-93,-93,-51,-80,-220,-314,-310,"-83,573","26,388","185,833","-134,800","49,501","96,401","-10,242","39,793","-131,582","117,017","-67,312","-202,382","-20,317",202,"54,471","45,902","62,054","37,594","-38,398","64,815"
SKC,,"37,534,555","5,000",화학,'011790,"92,700","92,500","93,300","91,800","90,100",33.59,25,1.66,77.78,"26,535","27,678","25,398","28,278","6,390","6,366","6,601","6,611","6,562","7,327","1,757","2,011","1,551","2,059",482,405,301,274,499,631,"1,363","1,410",674,"1,703",150,226,68,861,79,328,6.62,7.27,6.11,7.28,7.55,6.37,4.56,4.15,7.61,8.62,7.7,8.09,3.86,8.1,4.79,3.52,3.86,6.84,5.89,,130.13,126.17,130.13,,136.58,133.43,130.13,160.23,160.39,,"2,931","3,213","1,591","3,711",354,576,152,"2,111",-79,678,16.03,11.14,32.06,24.93,20.4,27.32,32.06,11.65,22.1,136.38,"40,937","43,272","44,022","53,115","43,563","44,343","44,022","55,936","55,680",,1.15,0.83,1.16,1.74,0.91,0.9,1.16,0.67,1.1,,"92,700","92,500","95,200","95,200","97,000","94,800","94,900","88,100","80,200","84,400","82,600","84,500","89,500","91,000","87,800","87,000","86,800","82,600","78,900","75,400","316,283","634,202","404,157","515,294","610,472","545,603","1,060,520","1,079,569","474,352","363,718","643,158","813,931","815,655","2,760,791","610,649","822,402","983,407","743,012","716,819","423,808","-19,582","-76,928","21,621","22,849","54,015","-39,608","168,896","70,488","-15,300","-21,652","-8,242","-161,035","-84,501","-267,531","-37,834","3,937","11,213","-14,526",-607,"18,183","1,080","-8,826","-3,939","-27,291","-13,290","-37,746","7,406","32,452","23,353","-5,325","74,337","23,422","-15,636","-38,944","52,273","7,878","44,022","10,996","-8,515","-54,990"
금강공업,,"26,159,553","1,000",건축제품,'014280,"3,610","3,625","3,660","3,625","3,575",N/A,,0.3,247.25,"6,132","5,679","5,497",,"1,497","1,322","1,237","1,326","1,214",,460,253,26,,16,15,-41,13,-16,,266,149,-50,,11,19,-87,11,-24,,7.5,4.46,0.48,,1.04,1.12,-3.28,0.96,-1.3,,9.03,5.18,-3.23,,0.84,0.41,-3.23,-3.1,-4.27,,128.45,140.76,141.08,,143.04,139.27,141.08,145.22,150.68,,960,580,-360,,-14,49,-406,28,-144,,5.98,7.1,-10.59,,47.12,87.86,-10.59,-7.44,-6.79,,"12,186","12,735","12,073",,"12,691","12,762","12,073","11,968","11,957",,0.47,0.32,0.32,,0.36,0.32,0.32,0.21,0.27,,"3,610","3,625","3,575","3,590","3,670","3,590","3,545","3,535","3,500","3,600","3,500","3,810","3,725","3,720","3,745","3,780","3,605","3,545","3,500","3,600","51,987","123,072","54,664","110,798","207,402","55,081","57,637","49,953","141,836","73,750","290,970","732,289","114,315","111,213","71,829","219,819","150,633","85,815","88,473","71,602","-2,069","-1,306","-1,499",-935,"5,462",443,-23,"-1,748",961,870,-20,"-4,106","-1,522",688,113,"-2,603",181,"-2,742","2,439","-6,534","2,095","23,774","8,193","-16,588","10,896","10,827","-17,001","-14,055","-15,688","1,135","-28,819","12,222","9,848","-1,456","3,124","19,983","11,203","9,220","1,760","15,204"
금호산업,,"36,633,924","5,000",건설,'002990,"7,260","7,160","7,620","7,170","7,130",5.9,,0.68,6.45,"12,979","13,767","15,977","17,333","4,508","4,261","4,093","3,570","4,340","4,450",311,423,555,805,146,167,173,166,182,212,953,-5,117,570,176,118,108,112,110,180,2.39,3.07,3.47,4.64,3.24,3.93,4.23,4.66,4.2,4.76,27.07,-0.13,3.2,14.02,-2.05,-7.21,3.2,14.45,12.13,,227.2,231.8,255.23,,271.63,243.77,255.23,263.23,252.74,,"2,652",-13,323,"1,553",485,325,297,309,298,409,3.59,-907.86,35.65,4.61,-68.05,-16.01,35.65,4.43,5.42,17.51,"11,115","10,103","10,676","12,198","10,037","10,428","10,676","10,609","10,734",,0.86,1.17,1.08,0.59,1.4,1.19,1.08,0.59,0.62,,"7,260","7,160","7,330","7,110","7,380","7,030","6,920","7,010","6,850","7,120","6,850","7,260","7,360","7,430","7,540","7,500","7,460","6,950","6,940","6,900","242,268","243,370","245,896","407,667","686,708","115,907","98,181","143,869","220,784","226,318","346,578","170,898","261,083","298,441","368,969","399,539","1,106,740","160,152","161,585","439,578","-2,207","-5,704","-3,739","2,082",-674,"-3,319","1,226",625,"-4,097","-3,267","-45,929","-1,830","-2,072",-122,"-4,905","-2,642","47,121","-1,367","-1,682","-3,628","-40,146","-38,068","26,908","-63,999","-13,210","1,099","1,982","14,492","-56,821","-10,688","-48,920","7,968","-18,262","18,629","-35,422","-8,609","78,196","13,079","1,235","-3,829"
금호전기,,"11,981,820",500,디스플레이장비및부품,'001210,"3,395","3,230","3,450","3,200","3,200",N/A,,1.18,125.14,"1,014",636,629,,157,133,138,125,135,,-77,-243,-42,,-23,-24,13,-30,-9,,-202,-209,-332,,-103,-40,-167,-44,-24,,-7.64,-38.16,-6.64,,-14.88,-17.79,9.55,-24.38,-6.79,,-22.42,-32.49,-80.13,,-85.4,-87.67,-80.13,-78.25,-65.59,,196.45,390.87,333.73,,287.5,320.36,333.73,387.62,272.65,,"-2,645","-2,600","-3,534",,"-1,089",-388,"-1,676",-432,-230,,-2.7,-2.54,-1.21,,-0.41,-0.28,-1.21,-0.67,-1.19,,"10,200","8,072","3,383",,"5,703","5,295","3,383","2,978","2,874",,0.7,0.82,1.27,,0.6,0.41,1.27,0.8,1.11,,"3,395","3,230","3,190","3,200","3,200","3,205","3,200","3,190","3,065","3,160","3,100","3,260","3,260","3,340","3,350","3,350","3,390","3,365","3,370","3,395","136,601","50,549","50,099","74,108","57,366","58,335","34,060","33,768","103,246","19,613","64,902","59,915","78,019","23,983","60,926","69,283","67,783","22,862","26,834","33,927",4,-5,-1,105,3,-4,-4,-2,8,364,-5,-611,458,-11,-110,103,"2,746",-6,-11,-21,"23,472","8,803","2,367","-2,821","-2,224","13,384","7,772","-3,040","-5,344","1,865","-19,438",756,"1,325","-6,644","4,124","1,466","-12,005","-2,641","-1,626","6,492"
기업은행 1Q,,"738,664,360","5,000",은행,'024110,"8,170","8,090","8,210","8,090","8,080",3.55,4,0.24,3.91,"167,840","155,279","169,382",,"46,778","29,044","28,099","33,279","73,040",,"20,283","23,964","22,279","19,651","7,444","5,768","5,097","3,969","6,613","4,790","15,085","17,643","16,143","14,645","5,570","4,288","3,819","2,464","5,005","3,810",12.08,15.43,13.15,,15.91,19.86,18.14,11.93,9.05,,7.98,8.63,7.36,6.13,8.66,8.5,7.67,7.36,6.95,,"1,284.07","1,272.46","1,296.65",,"1,270.47","1,269.21","1,269.78","1,296.65","1,317.20",,"2,282","2,666","2,393","1,896",834,634,566,363,741,472,7.21,5.27,4.93,4.27,5.15,5.17,5.29,4.93,3.26,17.49,"29,937","31,891","33,567","29,599","32,265","32,941","33,528","33,567","33,998",,0.55,0.44,0.35,0.27,0.44,0.43,0.39,0.35,0.22,,"8,170","8,090","8,260","8,220","8,350","8,420","8,280","8,190","8,120","8,390","8,300","8,700","8,820","8,800","8,680","8,400","8,230","8,290","8,160","8,200","1,246,251","2,731,627","1,177,457","1,176,456","1,463,232","1,392,604","1,120,572","1,331,757","2,494,703","1,330,333","2,600,765","1,991,022","3,430,244","4,199,990","4,207,516","3,094,346","1,585,276","2,724,744","1,253,971","1,361,938","-102,035","21,288","18,942","-220,157","-241,137","-189,025","195,239","-228,308","-239,864","76,131","220,360","157,804","90,545","394,232","134,251","-92,747","-198,953","53,858","-119,989","17,509","-113,099","-1,251,268","35,338","-121,542","-98,238","353,913","99,883","-59,559","-204,480","-82,849","-545,877","-192,417","98,182","-793,289","501,552","985,619","-488,334","384,806","-151,666","-2,401"
남선알미늄,,"110,179,090",500,건축제품,'008350,"5,320","5,180","5,350","5,220","5,140",59.78,,3.14,247.25,"4,007","3,478","3,248",,840,720,962,688,666,,208,94,116,,39,6,54,23,-9,,217,252,145,,90,15,16,45,23,,5.18,2.71,3.56,,4.67,0.85,5.62,3.27,-1.38,,16.08,,8.33,,,,8.33,9.33,5.35,,92.58,79.6,65.01,,81.21,72.93,65.01,57.99,55.27,,197,228,131,,82,14,14,40,21,,5.03,12.4,24.65,,,12,24.65,32.93,69.15,,"1,338","1,527","1,621",,"1,643","1,659","1,621","1,671","1,694",,0.74,1.85,1.99,,2.15,1.95,1.99,2.96,3.64,,"5,320","5,180","5,290","5,090","5,240","5,250","5,250","5,170","4,770","5,000","4,880","5,270","5,440","5,220","5,290","5,080","5,150","5,160","5,310","5,570","4,665,645","8,456,126","7,318,246","3,942,142","3,415,941","4,012,661","5,449,893","15,257,182","4,468,916","9,302,390","7,694,219","10,132,322","25,073,679","3,171,362","10,182,034","3,281,334","4,570,623","6,560,250","10,828,845","2,825,976","3,564","5,897","-1,675",409,996,"-3,729","-5,242","6,412","-9,351","-2,527",440,"-99,662","103,311","-16,142","-10,894","-10,398","-4,094","10,232",747,"6,352","511,658","67,152","44,144","-294,060","123,874","-23,326","301,465","-77,302","-68,951","102,183","-144,670","73,614","-21,252","75,212","-229,659","172,654","-117,716","227,353","-1,292,561","125,950"
남성,,"36,212,160",500,전자장비와기기,'004270,"2,600","2,420","2,660","2,420","2,420",N/A,,0.94,30.75,920,833,730,,203,184,144,172,217,,72,10,5,,10,5,-21,4,-2,,14,-36,-22,,2,3,-37,-9,-3,,7.84,1.17,0.63,,4.87,2.45,-14.74,2.07,-0.74,,1.68,-4.11,-2.52,,-4.72,-4.59,-2.52,-4.74,-5.29,,132.78,147.78,138.34,,140.79,141.97,138.34,145.9,145.73,,37,-97,-59,,6,9,-100,-25,-9,,57.73,-19.73,-53.42,,-30.39,-28.3,-53.42,-19.32,-22.64,,"3,206","3,055","2,842",,"2,964","2,949","2,842","2,758","2,762",,0.67,0.63,1.11,,1.18,1.09,1.11,0.77,1.02,,"2,600","2,420","2,480","2,380","2,450","2,460","2,460","2,445","2,310","2,470","2,350","2,620","2,710","2,665","2,720","2,680","2,735","2,775","2,805","2,835","1,399,344","340,269","596,296","351,668","261,498","232,257","411,033","543,714","478,423","286,942","862,303","375,218","358,157","265,627","280,268","391,264","447,005","576,839","440,576","311,627","-6,739","4,263","2,779",-23,-351,"-4,546","2,940","2,158",254,-376,"-5,985","5,522","-1,451",-639,821,"1,054","-5,407",761,"3,645",-169,"22,014","-67,668","159,585","-4,845","65,529","-38,587","-38,760","59,276","15,667","66,590","32,930","-70,729","101,015","-54,397","37,729","10,809","-11,418","-24,121","-71,882","47,749"
대구백화점,,"10,821,611","5,000",백화점과일반상점,'006370,"6,280","6,050","6,350","6,160","5,940",N/A,,0.19,-30.15,947,"1,200","1,015",,266,260,196,213,263,,-131,-184,-142,,-33,-43,-42,-48,-23,,-156,-296,-193,,-37,-72,-46,-76,-13,,-13.78,-15.35,-14.03,,-12.53,-16.5,-21.38,-22.26,-8.63,,-4.72,-9.36,-6.93,,-8.41,-7.27,-6.93,-8.53,-7.81,,105.89,125.96,135.37,,128.29,133.72,135.37,141.71,146.07,,"-1,521","-2,758","-1,837",,-335,-657,-473,-726,-134,,-7.92,-3.19,-3.26,,-2.87,-2.97,-3.26,-2.34,-2.32,,"43,861","38,700","35,559",,"38,092","36,638","35,559","33,272","33,316",,0.27,0.23,0.17,,0.18,0.16,0.17,0.15,0.14,,"6,280","6,050","5,820","5,820","5,840","5,840","5,660","5,620","5,810","5,850","5,750","5,810","5,780","5,660","5,610","5,600","5,600","5,580","5,230","5,190","60,085","35,734","4,644","2,192","2,057","5,875","2,736","4,541","12,594","4,773","34,002","6,939","77,961","3,303","6,908","12,680","34,617","66,437","12,819","9,540",-7,-16,0,-119,-1,-10,-9,41,4,-10,-15,204,"-2,864",-12,-11,-9,-17,-61,-57,-69,-658,226,"1,065",73,-222,452,"-1,046",46,-51,-277,988,-4,-606,247,23,-446,731,"-3,688",43,-409
